"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"53","""Did decisionmakers consider the possibility that incentivizing hospitals to diagnose patients as having #Covid_19… https://t.co/8rmMa7LHpO",FALSE,0,NA,2023-04-27 05:54:34,TRUE,NA,"1651464837564862464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LucindaRhysEvan",0,FALSE,FALSE,NA,NA
"54","RT @BurnetInstitute: New #COVID-19 subvariant #Arcturus on the rise in Australia. @profmiketoole tells @abcnews there's no evidence this st…",FALSE,0,NA,2023-04-27 05:54:33,FALSE,NA,"1651464834167480320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JonesHowdareyou",17,TRUE,FALSE,NA,NA
"55","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 05:54:31,FALSE,NA,"1651464822528315392",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kattrejones",59,TRUE,FALSE,NA,NA
"56","RT @BurnetInstitute: New #COVID-19 subvariant #Arcturus on the rise in Australia. @profmiketoole tells @abcnews there's no evidence this st…",FALSE,0,NA,2023-04-27 05:54:19,FALSE,NA,"1651464772809003008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thatsnotmanners",17,TRUE,FALSE,NA,NA
"57","RT @PleaseDoTheMath: @DrNeenaJha If only we could have foreseen the damage our myopic #covid policies would inflict.
Except, we could - and…",FALSE,0,NA,2023-04-27 05:54:12,FALSE,NA,"1651464744501493761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PleaseDoTheMath",1,TRUE,FALSE,NA,NA
"58","Because authoritarianism still doesn’t stop viruses..

#covid #covid19 #Arcturus #India #ffs https://t.co/XVJKv9nmwS",FALSE,0,"PaulRobEsq",2023-04-27 05:54:10,FALSE,"1647715980955594752","1651464734934196226","2323669226","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PaulRobEsq",0,FALSE,FALSE,NA,NA
"59","RT @DMCCAuthority: Abdalla Al Amri, Director of Ecommerce, @DP_World addresses the challenges from logistics faced by the global #tea indus…",FALSE,0,NA,2023-04-27 05:54:07,FALSE,NA,"1651464725270495236",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DUBUY_by_DPW",1,TRUE,FALSE,NA,NA
"60","RT @JP__75: Story on @ACurrentAffair9 tonight..

Fmd, have a listen to these people. Their brains are fried. 

Young guy says he’s getting…",FALSE,0,NA,2023-04-27 05:53:51,FALSE,NA,"1651464655838265346",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NolaMerry",45,TRUE,FALSE,NA,NA
"61","RT @BurnetInstitute: New #COVID-19 subvariant #Arcturus on the rise in Australia. @profmiketoole tells @abcnews there's no evidence this st…",FALSE,0,NA,2023-04-27 05:53:41,FALSE,NA,"1651464612959715328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","profmiketoole",17,TRUE,FALSE,NA,NA
"62","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:53:34,FALSE,NA,"1651464587156283392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kimosaby",137,TRUE,FALSE,NA,NA
